,DATETIME,LAT,LONG,DEPTH,MAGNITUDE
5113,3/20/1979 15:38,39.0,22.3,10,3.0
5114,3/20/1979 20:25,38.3,23.0,10,3.0
5115,3/20/1979 21:18,38.3,23.9,10,3.3
5116,3/21/1979 13:00,36.3,26.7,10,3.9
5117,3/24/1979 23:42,37.6,23.4,10,3.0
5118,3/25/1979 23:57,38.9,23.4,10,2.9
5119,3/26/1979 1:56,37.6,21.5,10,4.1
5120,3/26/1979 2:22,37.6,21.6,10,3.5
5121,3/26/1979 3:30,37.7,21.6,10,3.1
5122,3/26/1979 6:59,37.6,21.4,10,3.7
5123,3/26/1979 7:02,37.6,21.4,10,3.3
5124,3/26/1979 7:55,37.6,21.5,10,3.2
5125,3/26/1979 8:05,37.6,21.4,10,4.5
5126,3/26/1979 8:13,37.5,21.5,10,3.7
5127,3/26/1979 12:58,37.5,21.5,10,3.2
5128,3/28/1979 4:04,37.6,21.6,10,3.3
5129,3/28/1979 5:57,38.8,23.4,10,3.3
5130,3/28/1979 11:36,37.6,21.6,10,3.5
5131,3/28/1979 15:28,38.3,23.0,10,3.5
5132,3/30/1979 6:45,37.6,21.5,10,4.2
5133,4/1/1979 11:23,36.7,23.9,10,3.0
5134,4/3/1979 10:30,37.6,21.4,10,4.2
5135,4/3/1979 23:31,37.7,21.6,10,3.3
5136,4/9/1979 5:05,37.6,21.5,10,3.6
5137,4/9/1979 22:24,37.7,21.6,10,3.2
5138,4/12/1979 1:02,39.0,25.9,10,3.9
5139,4/12/1979 22:44,39.3,24.2,10,3.1
5140,4/12/1979 23:09,39.2,24.4,10,4.8
5141,4/13/1979 2:22,37.8,22.1,10,2.9
5142,4/15/1979 3:38,40.4,22.5,10,3.5
5143,4/16/1979 15:18,39.6,23.4,10,3.1
5144,4/16/1979 22:34,40.7,23.2,10,3.8
5145,4/19/1979 15:24,41.4,23.7,10,4.0
5146,4/22/1979 15:07,38.4,22.2,10,3.1
5147,4/22/1979 23:15,39.4,24.0,10,3.5
5148,4/25/1979 21:14,38.2,22.2,10,3.2
5149,4/28/1979 1:11,37.0,26.8,10,3.7
5150,5/1/1979 5:56,37.1,22.4,10,3.1
5151,5/1/1979 10:06,39.1,20.8,10,3.6
5152,5/1/1979 14:00,37.0,25.9,10,3.3
5153,5/1/1979 18:32,37.4,21.6,10,3.1
5154,5/2/1979 16:16,37.6,21.6,10,3.2
5155,5/5/1979 21:39,34.9,25.3,10,4.0
5156,5/5/1979 23:47,38.0,21.9,10,3.0
5157,5/9/1979 0:49,38.7,22.5,10,3.0
5158,5/10/1979 5:12,36.9,21.6,10,3.2
5159,5/11/1979 1:46,40.7,23.4,10,4.3
5160,5/12/1979 17:52,38.3,25.9,10,3.8
5161,5/12/1979 22:42,39.3,25.9,10,3.5
5162,5/14/1979 0:53,39.2,24.5,10,4.2
5163,5/14/1979 0:54,39.2,24.3,10,3.8
5164,5/14/1979 1:01,39.2,24.6,10,3.2
5165,5/14/1979 1:09,39.1,24.6,10,3.0
5166,5/16/1979 6:27,37.5,22.0,10,3.5
5167,5/19/1979 9:46,38.7,25.5,10,3.8
5168,5/20/1979 16:54,38.7,23.8,10,3.1
5169,5/20/1979 17:31,37.9,21.9,10,3.0
5170,5/25/1979 9:07,36.7,21.9,10,3.5
5171,5/25/1979 12:07,39.2,25.3,10,3.2
5172,5/25/1979 12:13,39.3,25.3,10,3.8
5173,5/25/1979 21:13,36.9,21.6,10,3.3
5174,5/30/1979 2:57,35.1,26.4,10,3.9
5175,5/30/1979 11:34,40.4,24.2,10,3.7
5176,6/1/1979 19:04,40.3,24.1,10,3.8
5177,6/1/1979 21:03,39.2,20.4,10,4.1
5178,6/1/1979 22:40,40.3,24.1,10,3.6
5179,6/2/1979 3:11,40.3,24.0,10,4.2
5180,6/2/1979 3:55,40.3,24.1,10,3.5
5181,6/2/1979 13:39,40.2,24.2,10,3.7
5182,6/2/1979 15:18,38.4,22.2,10,3.1
5183,6/2/1979 16:37,38.5,22.2,10,3.1
5184,6/2/1979 17:53,38.4,22.4,10,3.3
5185,6/3/1979 0:19,38.7,21.9,10,3.0
5186,6/3/1979 15:21,39.4,23.2,10,3.3
5187,6/3/1979 16:40,39.4,23.2,10,3.3
5188,6/4/1979 2:37,38.9,23.0,10,3.0
5189,6/5/1979 1:03,38.7,25.4,10,3.3
5190,6/5/1979 3:23,38.5,25.5,10,3.1
5191,6/5/1979 22:02,38.6,21.8,10,3.3
5192,6/7/1979 21:56,40.4,24.0,10,3.4
5193,6/8/1979 13:32,38.2,23.0,10,3.0
5194,6/8/1979 20:47,38.5,23.0,10,3.9
5195,6/9/1979 11:06,38.5,22.9,10,3.4
5196,6/9/1979 18:07,38.3,22.0,10,3.0
5197,6/10/1979 5:29,38.9,23.9,10,3.0
5198,6/11/1979 12:52,38.3,22.9,10,3.0
5199,6/12/1979 2:52,38.5,25.5,10,3.2
5200,6/13/1979 4:08,38.8,23.7,10,3.3
5201,6/14/1979 14:13,38.8,26.4,10,3.3
5202,6/15/1979 11:34,34.8,24.1,10,5.1
5203,6/15/1979 12:26,38.4,22.0,10,3.2
5204,6/16/1979 2:32,37.7,21.2,10,3.4
5205,6/17/1979 8:23,38.5,23.8,10,3.0
5206,6/18/1979 4:53,40.8,23.3,10,3.8
5207,6/20/1979 10:44,37.9,21.0,10,3.8
5208,6/20/1979 13:48,38.4,24.0,10,2.9
5209,6/21/1979 2:09,39.0,22.2,10,3.7
5210,6/21/1979 5:06,39.7,23.4,10,3.4
5211,6/22/1979 20:46,38.4,25.6,10,3.1
5212,6/23/1979 6:56,37.9,22.5,10,3.2
5213,6/23/1979 20:07,38.8,23.4,10,4.1
5214,6/23/1979 20:34,38.9,23.3,10,3.3
5215,6/23/1979 21:08,38.9,23.3,10,3.8
5216,6/24/1979 0:14,38.9,23.3,10,3.0
5217,6/24/1979 8:32,38.7,22.4,10,3.1
5218,6/25/1979 2:32,38.5,23.0,10,3.1
5219,6/25/1979 23:32,40.3,24.1,10,3.8
5220,6/26/1979 3:34,39.1,24.4,10,4.4
5221,6/26/1979 15:34,38.8,23.3,10,4.3
5222,6/27/1979 0:59,38.8,23.3,10,3.2
5223,6/28/1979 19:16,38.3,22.0,10,3.3
5224,6/30/1979 4:29,39.7,25.4,10,3.3
5225,7/1/1979 21:04,38.7,22.8,10,3.3
5226,7/2/1979 11:11,37.6,20.9,10,3.5
5227,7/2/1979 15:43,38.2,22.8,10,4.0
5228,7/3/1979 10:18,40.0,24.5,10,3.4
5229,7/4/1979 6:51,39.2,26.0,10,3.6
5230,7/9/1979 1:31,39.1,23.3,10,3.0
5231,7/9/1979 10:54,38.3,22.2,10,3.6
5232,7/9/1979 17:47,38.2,25.5,10,3.0
5233,7/13/1979 4:08,37.8,22.6,10,3.4
5234,7/19/1979 12:39,38.1,22.5,10,3.1
5235,7/20/1979 3:54,35.4,27.2,10,4.6
5236,7/20/1979 19:52,37.9,24.1,10,3.5
5237,7/23/1979 11:41,35.5,26.5,60,5.1
5238,7/23/1979 20:14,35.4,26.5,10,3.8
5239,7/24/1979 12:47,35.4,26.4,10,4.0
5240,7/24/1979 23:30,35.2,26.3,70,4.4
5241,7/25/1979 11:46,37.6,22.5,10,3.0
5242,7/25/1979 19:29,35.4,26.4,60,4.2
5243,7/26/1979 12:11,35.9,24.0,70,4.0
5244,7/29/1979 2:36,38.0,20.6,10,4.0
5245,7/29/1979 13:23,39.7,20.5,10,3.9
5246,7/29/1979 21:28,38.9,26.3,10,3.6
5247,7/29/1979 22:33,38.4,23.0,10,3.0
5248,8/5/1979 15:51,38.2,25.3,10,3.0
5249,8/5/1979 19:43,39.6,22.9,10,3.0
5250,8/7/1979 4:29,38.6,25.6,10,3.2
5251,8/8/1979 9:41,35.6,26.4,10,4.0
5252,8/8/1979 14:16,35.4,26.4,10,4.1
5253,8/8/1979 15:50,35.4,26.4,10,4.3
5254,8/8/1979 22:11,38.2,21.7,10,3.0
5255,8/10/1979 5:59,35.4,26.4,10,4.1
5256,8/10/1979 9:48,35.4,26.4,10,4.0
5257,8/10/1979 13:55,37.6,21.6,10,3.1
5258,8/10/1979 20:13,38.7,23.5,10,3.2
5259,8/11/1979 7:35,37.6,21.6,10,3.1
5260,8/11/1979 19:00,35.5,26.4,10,3.9
5261,8/11/1979 23:41,38.7,24.7,10,2.9
5262,8/12/1979 9:48,35.4,26.4,70,3.9
5263,8/12/1979 18:04,38.2,22.1,10,3.1
5264,8/13/1979 19:24,38.1,21.8,10,3.3
5265,8/14/1979 0:07,37.8,21.0,10,4.1
5266,8/14/1979 10:30,38.5,23.5,10,2.6
5267,8/15/1979 8:25,38.8,23.3,10,2.7
5268,8/17/1979 23:51,37.6,20.9,10,3.5
5269,8/19/1979 10:10,37.8,21.1,10,3.6
5270,8/19/1979 11:31,37.6,20.7,10,3.5
5271,8/19/1979 16:30,37.7,20.7,10,3.5
5272,8/24/1979 5:34,39.1,23.3,10,3.1
5273,8/24/1979 17:12,39.1,21.8,10,3.6
5274,8/25/1979 3:37,35.6,26.5,10,4.0
5275,8/26/1979 17:12,39.1,22.3,100,3.9
5276,8/27/1979 10:53,40.8,23.3,10,3.8
5277,8/28/1979 1:26,35.5,26.5,10,4.0
5278,8/29/1979 13:52,39.5,23.1,10,3.5
5279,8/30/1979 10:40,39.5,23.2,10,3.3
5280,8/31/1979 17:24,40.6,23.4,10,4.4
5281,9/1/1979 13:02,36.6,26.4,10,3.8
5282,9/2/1979 13:54,40.5,21.0,10,4.2
5283,9/2/1979 21:15,37.8,20.9,10,3.8
5284,9/3/1979 2:59,36.2,27.5,60,4.0
5285,9/3/1979 3:31,37.7,20.9,10,3.5
5286,9/3/1979 14:19,38.7,25.7,10,3.5
5287,9/5/1979 0:14,40.7,23.4,10,3.7
5288,9/5/1979 9:08,37.5,21.8,10,3.1
5289,9/5/1979 10:37,38.3,22.1,10,3.0
5290,9/5/1979 19:52,38.2,22.2,10,3.1
5291,9/9/1979 0:18,38.3,22.2,10,2.9
5292,9/9/1979 19:37,36.1,24.8,10,3.4
5293,9/9/1979 22:55,38.3,23.8,10,3.1
5294,9/10/1979 9:14,39.3,21.8,10,3.4
5295,9/13/1979 16:06,38.7,22.9,10,3.0
5296,9/14/1979 8:33,37.7,21.0,10,4.0
5297,9/14/1979 22:14,37.9,21.2,10,3.8
5298,9/19/1979 17:31,37.7,22.3,10,3.2
5299,9/20/1979 19:06,37.8,22.2,10,4.0
5300,9/20/1979 21:45,37.6,22.2,10,3.8
5301,9/21/1979 1:59,37.9,22.2,10,3.8
5302,9/21/1979 3:27,37.8,22.3,10,3.3
5303,9/21/1979 8:04,37.8,22.2,10,3.3
5304,9/21/1979 8:30,37.7,22.3,10,3.3
5305,9/21/1979 22:56,37.8,22.3,10,3.1
5306,9/21/1979 22:58,37.8,22.3,10,3.1
5307,9/22/1979 11:16,37.8,22.3,10,3.0
5308,9/22/1979 11:18,37.8,22.2,10,3.7
5309,9/22/1979 11:31,37.7,22.3,10,3.1
5310,9/22/1979 12:03,37.9,22.7,10,3.0
5311,9/22/1979 13:21,37.7,22.3,10,3.1
5312,9/22/1979 13:25,37.8,22.3,10,3.4
5313,9/22/1979 19:17,37.8,22.3,10,3.1
5314,9/22/1979 20:30,37.7,22.2,10,3.0
5315,9/22/1979 20:37,37.8,22.3,10,2.9
5316,9/22/1979 20:46,37.7,22.3,10,3.1
5317,9/22/1979 22:23,37.7,22.3,10,3.0
5318,9/22/1979 23:55,37.7,22.3,10,3.0
5319,9/25/1979 1:41,40.9,22.3,10,4.2
5320,9/29/1979 11:37,38.5,25.4,10,3.2
5321,9/29/1979 14:04,35.3,27.1,10,4.4
5322,9/30/1979 22:16,37.7,26.4,10,3.5
5323,10/2/1979 15:25,37.5,21.5,10,3.3
5324,10/4/1979 9:19,39.5,20.3,10,4.0
5325,10/8/1979 1:43,38.8,26.5,10,3.6
5326,10/8/1979 17:05,37.7,21.1,10,3.7
5327,10/11/1979 23:58,36.3,23.0,10,3.2
5328,10/12/1979 19:29,36.8,23.2,10,4.0
5329,10/14/1979 15:00,40.2,21.6,10,3.9
5330,10/20/1979 22:42,35.6,26.5,10,4.0
5331,10/21/1979 0:48,38.1,23.0,100,3.0
5332,10/21/1979 13:53,36.5,27.5,10,4.2
5333,10/21/1979 20:17,38.6,26.1,10,3.6
5334,10/23/1979 18:17,38.6,26.2,10,3.4
5335,10/24/1979 10:20,35.8,25.2,10,3.8
5336,10/31/1979 2:25,39.3,23.8,10,4.0
5337,11/2/1979 2:06,36.7,25.3,150,3.7
5338,11/2/1979 5:30,39.6,20.1,10,4.4
5339,11/3/1979 1:07,40.0,19.6,10,4.1
5340,11/4/1979 6:27,35.4,26.5,10,4.0
5341,11/5/1979 7:27,38.6,23.6,10,3.0
5342,11/6/1979 5:26,39.5,20.2,10,5.1
5343,11/6/1979 15:19,39.4,20.3,10,4.0
5344,11/6/1979 23:07,36.7,27.8,10,4.0
5345,11/8/1979 4:30,39.5,20.2,10,4.0
5346,11/8/1979 10:07,39.6,20.1,10,4.0
5347,11/8/1979 10:23,39.4,23.0,10,3.0
5348,11/9/1979 12:06,37.5,21.8,10,3.8
5349,11/10/1979 6:16,39.5,20.2,10,3.8
5350,11/11/1979 1:18,39.4,20.4,10,4.7
5351,11/11/1979 3:09,37.1,21.5,10,3.7
5352,11/11/1979 3:20,38.6,21.8,10,3.1
5353,11/13/1979 17:10,36.8,22.8,10,3.2
5354,11/13/1979 17:17,36.7,22.8,10,3.2
5355,11/15/1979 2:18,40.7,23.4,10,3.7
5356,11/15/1979 7:31,38.2,23.7,10,2.5
5357,11/16/1979 22:39,36.8,22.8,10,3.0
5358,11/16/1979 23:22,36.8,22.8,10,3.0
5359,11/18/1979 1:06,38.6,23.6,10,3.3
5360,11/22/1979 9:28,39.5,20.2,10,3.9
5361,11/23/1979 10:42,36.5,27.7,10,4.0
5362,11/25/1979 6:37,39.2,25.4,10,3.4
5363,11/27/1979 10:27,38.9,21.9,10,3.4
5364,11/30/1979 16:54,39.1,22.6,10,3.1
5365,11/30/1979 17:51,35.6,26.2,10,3.8
5366,12/1/1979 2:33,39.5,25.8,10,3.2
5367,12/1/1979 13:34,37.2,21.7,10,4.9
5368,12/1/1979 13:39,37.2,21.7,10,3.9
5369,12/1/1979 15:59,39.3,22.9,10,3.3
5370,12/2/1979 0:21,39.3,23.0,10,3.4
5371,12/2/1979 8:03,40.7,23.4,10,3.5
5372,12/3/1979 17:25,39.5,22.0,10,3.2
5373,12/3/1979 19:47,38.9,23.4,10,3.0
5374,12/5/1979 21:11,36.9,21.8,10,3.4
5375,12/9/1979 1:38,38.8,26.0,10,3.1
